paragraph_number,element_type,element_code,footnote_number,footnote_content,paragraph_text_preview
1,,,2,"Passport, CAR-D29-0015-0004, at 0005.","Alfred Rombhot Yekatom (hereinafter: 'Mr Yekatom'), a national of the Central African Republic (the 'CAR'), was born on 23 February 1975 in Bangui, the CAR."
2,,,3,"Joint Submission on Agreed Facts, 11 January 2021, ICC-01/14-01/18-811-Conf-Corr (with confidential Annexes A-C) (public redacted version notified on 2 February 2021, ICC-01/14-01/18-811-Corr), para. 18, i (the '[Joint Submission on Agreed Facts](https://www.legal-tools.org/doc/dc2ue1/)').","Patrice-Edouard Ngaïssona (hereinafter: 'Mr Ngaïssona') is a national of the CAR and was born on 30 June 1967 in Bégoua, the CAR."
3,,,4,*See* section IV. below.,"Given that the roles of the two accused at the period relevant to the charges are contested, the Chamber will discuss them below as relevant facts of the case. Brief procedural history"
4,,,5,"Presidency, [Annex 1 to the Decision Assigning the Situation in the Central African Republic II to Pre-Trial Chamber II](https://www.legal-tools.org/doc/9304eb/), 18 June 2014, ICC-01/14-1-Anx1, p. 4.","On 30 May 2014, the CAR authorities referred the situation in the CAR since 1 August 2012 to the Office of the Prosecutor (the 'Prosecution')."
5,,,6,"Pre-Trial Chamber II, Warrant of Arrest for Alfred Yekatom, 11 November 2018, ICC-01/14-01/18-1-Conf-Exp, confidential *ex parte,* only available to the Prosecution and the Yekatom Defence (public redacted version notified on 17 November 2018, ICC-01/14-01/18-1-Red) (the '[Arrest Warrant against Mr Yekatom](https://www.legal-tools.org/doc/00c4fc/)').","On 11 November 2018, Pre-Trial Chamber II (the 'Pre-Trial Chamber') issued a warrant of arrest against Mr Yekatom. He was surrendered to the Court by the CAR authorities on 17 November 2018 and his initial appearance took place on 23 November 2018."
5,,,7,"Registry, Rapport du Greffe sur l'Arrestation et la Remise de M. Alfred Yekatom, 22 November 2018, ICC-01/14-01/18-17-US-Exp (lesser redacted version notified on 5 August 2024, ICC-01/14-01/18-17-US-Exp-Red2) (the 'Report on Mr Yekatom's Arrest and Surrender'), paras 19-24.","On 11 November 2018, Pre-Trial Chamber II (the 'Pre-Trial Chamber') issued a warrant of arrest against Mr Yekatom. He was surrendered to the Court by the CAR authorities on 17 November 2018 and his initial appearance took place on 23 November 2018."
5,,,8,"Pre-Trial Chamber II, *The Prosecutor v. Alfred Yekatom*, Transcript of hearing, 23 November 2018, ICC-01/14-01/18-T-001-ENG.","On 11 November 2018, Pre-Trial Chamber II (the 'Pre-Trial Chamber') issued a warrant of arrest against Mr Yekatom. He was surrendered to the Court by the CAR authorities on 17 November 2018 and his initial appearance took place on 23 November 2018."
6,,,9,"Pre-Trial Chamber II, Warrant of Arrest for Patrice-Edouard Ngaïssona, 7 December 2018, ICC-01/14-01/18-89-Conf-Exp, confidential *ex parte,* only available to the Prosecution and the Ngaïssona Defence (public redacted version notified on 13 December 2018, ICC-01/14-01/18-89-Red) (the '[Arrest Warrant against Mr Ngaïssona](https://www.legal-tools.org/doc/5185e5/)').","On 7 December 2018, the Pre-Trial Chamber issued a warrant of arrest against Mr Ngaïssona on 7 December 2018. He was surrendered to the Court by the French authorities on 23 January 2019 and his initial appearance took place on 25 January 2019."
6,,,10,"Registry, Rapport du Greffe sur l'Arrestation et la Remise de Patrice-Edouard Ngaïssona, 25 January 2019, ICC-01/14-01/18-101-US-Exp (the 'Report on Mr Ngaïssona's Arrest and Surrender'), paras 5-14.","On 7 December 2018, the Pre-Trial Chamber issued a warrant of arrest against Mr Ngaïssona on 7 December 2018. He was surrendered to the Court by the French authorities on 23 January 2019 and his initial appearance took place on 25 January 2019."
6,,,11,"Pre-Trial Chamber II, *The Prosecutor v. Patrice-Edouard Ngaïssona*, Transcript of hearing, 25 January 2019, ICC-01/14-02/18-T-001-ENG.","On 7 December 2018, the Pre-Trial Chamber issued a warrant of arrest against Mr Ngaïssona on 7 December 2018. He was surrendered to the Court by the French authorities on 23 January 2019 and his initial appearance took place on 25 January 2019."
7,,,12,"Pre-Trial Chamber II, *The Prosecutor v. Alfred Yekatom*, Decision on the joinder of the cases against Alfred Yekatom and Patrice-Edouard Ngaïssona and other related matters, 20 February 2019, ICC-01/14-01/18-87 (the '[Decision on Joinder](https://www.legal-tools.org/doc/3bff8d/)'), para. 14.","On 20 February 2019, the two cases against the two accused were joined."
8,,,13,"Pre-Trial Chamber II, Corrected version of 'Decision on the confirmation of charges against Alfred Yekatom and Patrice-Edouard Ngaïssona', 11 December 2019, ICC-01/14-01/18-403-Conf-Corr (corrected version and corrected public redacted version notified on 14 May 2020, ICC-01/14-01/18-403-Red-Corr) (lesser redacted version issued by the Single Judge on 29 June 2021, ICC-01/14-01/18-403-Corr-Red) (the '[Confirmation Decision](https://www.legal-tools.org/doc/ruddqn/)').","On 11 December 2019, the Pre-Trial Chamber issued the 'Decision on the confirmation of charges against Alfred Yekatom and Patrice-Edouard Ngaïssona' (the 'Confirmation Decision'), committing the two accused for trial on the charges as confirmed."
9,,,14,"Presidency, [Decision constituting Trial Chamber V and referring to it the case of *The Prosecutor v. Alfred Yekatom and Patrice-Edouard Ngaïssona*](https://www.legal-tools.org/doc/wcn4gy/), 16 March 2020, ICC-01/14-01/18-451, p. 4.","On 16 March 2020, the case was referred to this Chamber."
10,,,15,"[Decision on Motions on the Scope of the Charges and the Scope of the Evidence at Trial](https://www.legal-tools.org/doc/2ficry/), 29 October 2020, ICC-01/14-01/18-703-Conf (public redacted version notified on 30 October 2020, ICC-01/14-01/18-703-Red).","On 29 October 2020, the Chamber issued a decision concerning the scope of the charges and of the evidence at trial."
11,,,16,"Prosecution's Trial Brief, 9 November 2020, ICC-01/14-01/18-723-Conf (with confidential Annexes A-E) (public redacted version notified on 4 March 2021, ICC-01/14-01/18-723-Red).","On 9 November 2020, the Prosecution filed its trial brief (the 'Prosecution Trial Brief')."
12,,,17,"Prosecution Opening Statements, 16 and 17 February 2020, T-014, T-015; Opening Statements of the Common Legal Representative of the Former Child Soldiers, 17 February 2020, T-015 (the 'CLRV1 Opening Statements'); Opening Statements of the Common Legal Representatives of Victims of Other Crimes, 17 February 2020, T-015 (the 'CLRV2 Opening Statements'); Ngaïssona Defence Opening Statements, 18 February 2020, T-016. The Chamber notes that throughout this decision, transcripts are referred to without specification of the case number. At times, transcripts may specify the version language referenced, as appropriate.","The opening statements of the Prosecution, the Common Legal Representative of the Former Child Soldiers (the 'CLRV1') the Common Legal Representatives of Victims of Other Crimes (the 'CLRV2') (jointly, the 'CLRV'), and the defence for Mr Ngaïssona (the 'Ngaïssona Defence') were heard between 16 and 18 February 2021."
13,,,18,"P-0974: T-244; [Prosecution's Notice of the Close of its Case-in-Chief](https://www.legal-tools.org/doc/2q2faa/), 11 September 2023, ICC-01/14-01/18-2089.","The Prosecution called its first witness on 15 March 2021 and completed its evidence presentation on 11 September 2023. The Prosecution brought forward a total of 114 witnesses. This includes 75 who appeared before the Chamber, either at the seat of the Court or via video-link, of whom 53 had their prior recorded testimony introduced under Rule 68(3) of the Rules. Additionally, 39 witnesses had their testimony introduced in writing pursuant to Rule 68(2)(b) and (c) of the Rules."
13,,,19,The prior recorded testimony of one of these witnesses was subsequently introduced pursuant to Rule 68(2)(d) of the Rules.,"The Prosecution called its first witness on 15 March 2021 and completed its evidence presentation on 11 September 2023. The Prosecution brought forward a total of 114 witnesses. This includes 75 who appeared before the Chamber, either at the seat of the Court or via video-link, of whom 53 had their prior recorded testimony introduced under Rule 68(3) of the Rules. Additionally, 39 witnesses had their testimony introduced in writing pursuant to Rule 68(2)(b) and (c) of the Rules."
14,,,20,"Decision on the Common Legal Representatives of Victims Requests for Leave to Present Evidence and Further Order on the Remainder of the Prosecution Presentation of Evidence, 3 August 2023, ICC-01/14-01/18-2016-Conf (public redacted version notified on 6 September 2023, ICC-01/14-01/18-2016-Red) (the '[Decision on the CLRV Leave to Present Evidence](https://www.legal-tools.org/doc/nr5vt8/)').","Between 21 September 2023 and 12 February 2024, after receiving the Chamber's permission to do so, the CLRV called three witnesses."
14,,,21,V44-0001: T-267; V45-0001: T-245; T-246; V45-0002: T-247; T-248.,"Between 21 September 2023 and 12 February 2024, after receiving the Chamber's permission to do so, the CLRV called three witnesses."
15,,,22,P-0952: T-249; T-250; T-251; T-252.,"The Chamber called one witness, who testified from 24 to 27 October 2023."
16,,,23,"Yekatom Defence Opening Statements, 28 November 2023, T-253.","On 28 November 2023, the Defence for Mr Yekatom (the 'Yekatom Defence') made its opening statement. The Ngaïssona Defence and the Yekatom Defence (together, the 'Defence') called their first witness on 11 December 2023 and completed their presentation of evidence on 13 September 2024, with an unsworn statement given by Mr Ngaïssona on 27 and 28 August 2024. In total, the Defence teams for both accused brought forward 56 witnesses (19 appeared before the Chamber -- either at the seat of the Court or via video-link --, and a further 37 had their testimony introduced in writing pursuant to Rule 68(2) of the Rules)."
16,,,24,D29-5015: T-254. The first Defence witness was called by the Yekatom Defence.,"On 28 November 2023, the Defence for Mr Yekatom (the 'Yekatom Defence') made its opening statement. The Ngaïssona Defence and the Yekatom Defence (together, the 'Defence') called their first witness on 11 December 2023 and completed their presentation of evidence on 13 September 2024, with an unsworn statement given by Mr Ngaïssona on 27 and 28 August 2024. In total, the Defence teams for both accused brought forward 56 witnesses (19 appeared before the Chamber -- either at the seat of the Court or via video-link --, and a further 37 had their testimony introduced in writing pursuant to Rule 68(2) of the Rules)."
16,,,25,"[Ngaïssona Defence Notice of the Conclusion of its Presentation of Evidence](https://www.legal-tools.org/doc/w82553si/), 13 September 2024, ICC-01/14-01/18-2690; [Yekatom Defence Notice of the End of Defence Presentation of Evidence](https://www.legal-tools.org/doc/vgsizl34/), 13 September 2024, ICC-01/14-01/18-2691.","On 28 November 2023, the Defence for Mr Yekatom (the 'Yekatom Defence') made its opening statement. The Ngaïssona Defence and the Yekatom Defence (together, the 'Defence') called their first witness on 11 December 2023 and completed their presentation of evidence on 13 September 2024, with an unsworn statement given by Mr Ngaïssona on 27 and 28 August 2024. In total, the Defence teams for both accused brought forward 56 witnesses (19 appeared before the Chamber -- either at the seat of the Court or via video-link --, and a further 37 had their testimony introduced in writing pursuant to Rule 68(2) of the Rules)."
16,,,26,"Unsworn Statement of Mr Ngaïssona, 27 and 28 August 2024, T-304.","On 28 November 2023, the Defence for Mr Yekatom (the 'Yekatom Defence') made its opening statement. The Ngaïssona Defence and the Yekatom Defence (together, the 'Defence') called their first witness on 11 December 2023 and completed their presentation of evidence on 13 September 2024, with an unsworn statement given by Mr Ngaïssona on 27 and 28 August 2024. In total, the Defence teams for both accused brought forward 56 witnesses (19 appeared before the Chamber -- either at the seat of the Court or via video-link --, and a further 37 had their testimony introduced in writing pursuant to Rule 68(2) of the Rules)."
17,,,27,"[Decision on the Sentencing Procedure and Amended Directions on the Conduct of the Proceedings](https://www.legal-tools.org/doc/73dsqsaw/), 18 July 2024, ICC-01/14-01/18-2600.","On 18 July 2024, the Chamber decided to render any potential decision on sentencing pursuant to Article 76 of the Statute simultaneously with its judgment under Article 74 of the Statute."
18,,,28,"[Declaration on the Closure of the Submission of Evidence](https://www.legal-tools.org/doc/jep7acn2/), 18 September 2024, ICC-01/14-01/18-2697.","On 18 September 2024, the Presiding Judge declared the submission of evidence closed."
19,,,29,"Prosecution's Closing Brief, 15 November 2024, ICC-01/14-01/18-2738-Conf (public redacted version notified on 22 November 2024, ICC-01/14-01/18-2738-Red) (the '[Prosecution Closing Brief](https://www.legal-tools.org/doc/wdngtoft/)'); [Ngaïssona Defence Closing Brief](https://www.legal-tools.org/doc/dg06wds5/), 15 November 2024, ICC-01/14-01/18-2736 (with confidential Annexes A.03-A.07, A.09-A.14, and A.16-A.21 and public Annexes [A.01](https://www.legal-tools.org/doc/ugyavrlc/), [A.02](https://www.legal-tools.org/doc/c3zbql1i/), [A.08](https://www.legal-tools.org/doc/ifs2yox4/), [A.15](https://www.legal-tools.org/doc/tv0ve0pc/), and [B](https://www.legal-tools.org/doc/zzsy72l9/)) (the Ngaïssona Defence's submissions are contained in [Annex A](https://www.legal-tools.org/doc/nx7gero0/), ICC-01/14-01/18-2736-Conf-AnxA-Corr, notified on 22 November 2024, and the public redacted version thereof was notified on 11 December 2024, ICC-01/14-01/18-2736-AnxA-Corr-Red) (the 'Ngaïssona Defence Closing Brief'); Corrected version of the Yekatom Defence Final Trial Brief, 6 December 2024, ICC-01/14-01/18-2737-Conf-Corr, notified on 6 December 2024 (public redacted version notified the same day, ICC-01/14-01/18-2737-Corr-Red) (the '[Yekatom Defence Closing Brief](https://www.legal-tools.org/doc/hoq9zogj/)'); Closing Brief of the Common Legal Representative of the Former Child Soldiers, 15 November 2024, ICC-01/14-01/18-2735-Conf (public redacted version notified on 22 November 2024, ICC-01/14-01/18-2735-Red) (the '[CLRV1 Closing Brief](https://www.legal-tools.org/doc/x0rmjcpz/)'); Closing Brief of the Common Legal Representatives of Victims of Other Crimes, 15 November 2024, ICC-01/14-01/18-2734-Conf (public redacted version notified on 22 November 2024, ICC-01/14-01/18-2734-Red) (the '[CLRV2 Closing Brief](https://www.legal-tools.org/doc/wrts9qww/)').",The parties and participants filed their closing briefs on 15 November 2024 and presented their closing statements from 9 to 12 December 2024.
19,,,30,"Prosecution Closing Statements, 9 December 2024, T-306, T-307 (the 'Prosecution Closing Statements'); CLRV1 Closing Statements, 10 December 2024, T-307; CLRV2 Closing Statements, 10 December 2024, T-307; Yekatom Defence Closing Statements, 11 December 2024, T-308 (the 'Yekatom Defence Closing Statements'); Ngaïssona Defence Closing Statements, 11 December 2024, T-308 (the 'Ngaïssona Defence Closing Statements').",The parties and participants filed their closing briefs on 15 November 2024 and presented their closing statements from 9 to 12 December 2024.
20,,,31,"Sentencing Submissions of the Common Legal Representative of the Former Child Soldiers regarding Alfred RHOMBOT YEKATOM, 13 December 2024, ICC-01/14-01/18-2744-Conf (public redacted version notified on 18 December 2024, ICC-01/14-01/18-2744-Red) (the '[CLRV1 Sentencing Brief](https://www.legal-tools.org/doc/uh4ko20a/)'); Submissions relevant to potential sentencing on behalf of the Victims of Other Crimes, 13 December 2024, ICC-01/14-01/18-2745-Conf (public redacted version notified on 16 December 2024, ICC-01/14-01/18-2745-Red) (the '[CLRV2 Sentencing Brief](https://www.legal-tools.org/doc/07w3px9k/)'); Prosecution's sentencing submissions, 13 December 2024, ICC-01/14-01/18-2747-Conf (public redacted version notified on 31 December 2024, ICC-01/14-01/18-2747-Red) (the '[Prosecution Sentencing Brief](https://www.legal-tools.org/doc/y01encma/)'); Yekatom Defence Written Submissions Relevant to Sentencing, 13 December 2024, ICC-01/14-01/18-2746-Conf (public redacted version notified the same day, ICC-01/14-01/18-2746-Red) (the '[Yekatom Defence Sentencing Brief](https://www.legal-tools.org/doc/x6fp6zvp/)'); Ngaïssona Defence Written Submissions on Potential Sentencing, 13 December 2024, ICC-01/14-01/18-2748 (with public [Annex 1](https://www.legal-tools.org/doc/nzw2wghn/); confidential, *ex parte* Annexes 2 and 3, only available to the Ngaïssona Defence; and confidential redacted versions of Annexes 2 and 3) (the '[Ngaïssona Defence Sentencing Brief](https://www.legal-tools.org/doc/obrenx6y/)').","On 13 and 16 December 2024, the parties and participants filed their submissions on potential sentencing."
